Epoch,Loss,Learning_Rate,GT_Status
1,6737946875030514987813568512.0000,0.009901,GALOIS_TEICHMULLER_SHIELD_SAFE
2,6737946875030514987813568512.0000,0.009804,GALOIS_TEICHMULLER_SHIELD_SAFE
3,6737946875030514987813568512.0000,0.009709,GALOIS_TEICHMULLER_SHIELD_SAFE
4,6737946875030514987813568512.0000,0.009615,GALOIS_TEICHMULLER_SHIELD_SAFE
5,6737946875030514987813568512.0000,0.009524,GALOIS_TEICHMULLER_SHIELD_SAFE
6,6737946875030514987813568512.0000,0.009434,GALOIS_TEICHMULLER_SHIELD_SAFE
7,6737946875030514987813568512.0000,0.009346,GALOIS_TEICHMULLER_SHIELD_SAFE
8,6737946875030514987813568512.0000,0.009259,GALOIS_TEICHMULLER_SHIELD_SAFE
9,6737946875030514987813568512.0000,0.009174,GALOIS_TEICHMULLER_SHIELD_SAFE
10,6737946875030514987813568512.0000,0.009091,GALOIS_TEICHMULLER_SHIELD_SAFE
11,6737946875030514987813568512.0000,0.009009,GALOIS_TEICHMULLER_SHIELD_SAFE
12,6737946875030514987813568512.0000,0.008929,GALOIS_TEICHMULLER_SHIELD_SAFE
13,6737946875030514987813568512.0000,0.008850,GALOIS_TEICHMULLER_SHIELD_SAFE
14,6737946875030514987813568512.0000,0.008772,GALOIS_TEICHMULLER_SHIELD_SAFE
15,6737946875030514987813568512.0000,0.008696,GALOIS_TEICHMULLER_SHIELD_SAFE
16,6737946875030514987813568512.0000,0.008621,GALOIS_TEICHMULLER_SHIELD_SAFE
17,6737946875030514987813568512.0000,0.008547,GALOIS_TEICHMULLER_SHIELD_SAFE
18,6737946875030514987813568512.0000,0.008475,GALOIS_TEICHMULLER_SHIELD_SAFE
19,6737946875030514987813568512.0000,0.008403,GALOIS_TEICHMULLER_SHIELD_SAFE
20,6737946875030514987813568512.0000,0.008333,GALOIS_TEICHMULLER_SHIELD_SAFE
21,6737946875030514987813568512.0000,0.008264,GALOIS_TEICHMULLER_SHIELD_SAFE
22,6737946875030514987813568512.0000,0.008197,GALOIS_TEICHMULLER_SHIELD_SAFE
23,6737946875030514987813568512.0000,0.008130,GALOIS_TEICHMULLER_SHIELD_SAFE
24,6737946875030514987813568512.0000,0.008065,GALOIS_TEICHMULLER_SHIELD_SAFE
25,6737946875030514987813568512.0000,0.008000,GALOIS_TEICHMULLER_SHIELD_SAFE
26,6737946875030514987813568512.0000,0.007937,GALOIS_TEICHMULLER_SHIELD_SAFE
27,6737946875030514987813568512.0000,0.007874,GALOIS_TEICHMULLER_SHIELD_SAFE
28,6737946875030514987813568512.0000,0.007812,GALOIS_TEICHMULLER_SHIELD_SAFE
29,6737946875030514987813568512.0000,0.007752,GALOIS_TEICHMULLER_SHIELD_SAFE
30,6737946875030514987813568512.0000,0.007692,GALOIS_TEICHMULLER_SHIELD_SAFE
31,6737946875030514987813568512.0000,0.007634,GALOIS_TEICHMULLER_SHIELD_SAFE
32,6737946875030514987813568512.0000,0.007576,GALOIS_TEICHMULLER_SHIELD_SAFE
33,6737946875030514987813568512.0000,0.007519,GALOIS_TEICHMULLER_SHIELD_SAFE
34,6737946875030514987813568512.0000,0.007463,GALOIS_TEICHMULLER_SHIELD_SAFE
35,6737946875030514987813568512.0000,0.007407,GALOIS_TEICHMULLER_SHIELD_SAFE
36,6737946875030514987813568512.0000,0.007353,GALOIS_TEICHMULLER_SHIELD_SAFE
37,6737946875030514987813568512.0000,0.007299,GALOIS_TEICHMULLER_SHIELD_SAFE
38,6737946875030514987813568512.0000,0.007246,GALOIS_TEICHMULLER_SHIELD_SAFE
39,6737946875030514987813568512.0000,0.007194,GALOIS_TEICHMULLER_SHIELD_SAFE
40,6737946875030514987813568512.0000,0.007143,GALOIS_TEICHMULLER_SHIELD_SAFE
41,6737946875030514987813568512.0000,0.007092,GALOIS_TEICHMULLER_SHIELD_SAFE
42,6737946875030514987813568512.0000,0.007042,GALOIS_TEICHMULLER_SHIELD_SAFE
43,6737946875030514987813568512.0000,0.006993,GALOIS_TEICHMULLER_SHIELD_SAFE
44,6737946875030514987813568512.0000,0.006944,GALOIS_TEICHMULLER_SHIELD_SAFE
45,6737946875030514987813568512.0000,0.006897,GALOIS_TEICHMULLER_SHIELD_SAFE
46,6737946875030514987813568512.0000,0.006849,GALOIS_TEICHMULLER_SHIELD_SAFE
47,6737946875030514987813568512.0000,0.006803,GALOIS_TEICHMULLER_SHIELD_SAFE
48,6737946875030514987813568512.0000,0.006757,GALOIS_TEICHMULLER_SHIELD_SAFE
49,6737946875030514987813568512.0000,0.006711,GALOIS_TEICHMULLER_SHIELD_SAFE
50,6737946875030514987813568512.0000,0.006667,GALOIS_TEICHMULLER_SHIELD_SAFE
51,6737946875030514987813568512.0000,0.006623,GALOIS_TEICHMULLER_SHIELD_SAFE
52,6737946875030514987813568512.0000,0.006579,GALOIS_TEICHMULLER_SHIELD_SAFE
53,6737946875030514987813568512.0000,0.006536,GALOIS_TEICHMULLER_SHIELD_SAFE
54,6737946875030514987813568512.0000,0.006494,GALOIS_TEICHMULLER_SHIELD_SAFE
55,6737946875030514987813568512.0000,0.006452,GALOIS_TEICHMULLER_SHIELD_SAFE
56,6737946875030514987813568512.0000,0.006410,GALOIS_TEICHMULLER_SHIELD_SAFE
57,6737946875030514987813568512.0000,0.006369,GALOIS_TEICHMULLER_SHIELD_SAFE
58,6737946875030514987813568512.0000,0.006329,GALOIS_TEICHMULLER_SHIELD_SAFE
59,6737946875030514987813568512.0000,0.006289,GALOIS_TEICHMULLER_SHIELD_SAFE
60,6737946875030514987813568512.0000,0.006250,GALOIS_TEICHMULLER_SHIELD_SAFE
61,6737946875030514987813568512.0000,0.006211,GALOIS_TEICHMULLER_SHIELD_SAFE
62,6737946875030514987813568512.0000,0.006173,GALOIS_TEICHMULLER_SHIELD_SAFE
63,6737946875030514987813568512.0000,0.006135,GALOIS_TEICHMULLER_SHIELD_SAFE
64,6737946875030514987813568512.0000,0.006098,GALOIS_TEICHMULLER_SHIELD_SAFE
65,6737946875030514987813568512.0000,0.006061,GALOIS_TEICHMULLER_SHIELD_SAFE
66,6737946875030514987813568512.0000,0.006024,GALOIS_TEICHMULLER_SHIELD_SAFE
67,6737946875030514987813568512.0000,0.005988,GALOIS_TEICHMULLER_SHIELD_SAFE
68,6737946875030514987813568512.0000,0.005952,GALOIS_TEICHMULLER_SHIELD_SAFE
69,6737946875030514987813568512.0000,0.005917,GALOIS_TEICHMULLER_SHIELD_SAFE
70,6737946875030514987813568512.0000,0.005882,GALOIS_TEICHMULLER_SHIELD_SAFE
71,6737946875030514987813568512.0000,0.005848,GALOIS_TEICHMULLER_SHIELD_SAFE
72,6737946875030514987813568512.0000,0.005814,GALOIS_TEICHMULLER_SHIELD_SAFE
73,6737946875030514987813568512.0000,0.005780,GALOIS_TEICHMULLER_SHIELD_SAFE
74,6737946875030514987813568512.0000,0.005747,GALOIS_TEICHMULLER_SHIELD_SAFE
75,6737946875030514987813568512.0000,0.005714,GALOIS_TEICHMULLER_SHIELD_SAFE
