Epoch,Loss,Learning_Rate,Koszul_Factor,Tamagawa_Status
1,4.9260,0.009901,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
2,4.8541,0.009804,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
3,4.7842,0.009709,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
4,4.7164,0.009615,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
5,4.6504,0.009524,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
6,4.5863,0.009434,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
7,4.5240,0.009346,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
8,4.4633,0.009259,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
9,4.4042,0.009174,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
10,4.3465,0.009091,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
11,4.2902,0.009009,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
12,4.2352,0.008929,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
13,4.1813,0.008850,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
14,4.1284,0.008772,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
15,4.0765,0.008696,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
16,4.0253,0.008621,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
17,3.9749,0.008547,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
18,3.9250,0.008475,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
19,3.8756,0.008403,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
20,3.8265,0.008333,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
21,3.7778,0.008264,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
22,3.7292,0.008197,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
23,3.6807,0.008130,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
24,3.6322,0.008065,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
25,3.5837,0.008000,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
26,3.5351,0.007937,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
27,3.4864,0.007874,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
28,3.4374,0.007812,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
29,3.3883,0.007752,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
30,3.3389,0.007692,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
31,3.2892,0.007634,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
32,3.2393,0.007576,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
33,3.1891,0.007519,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
34,3.1387,0.007463,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
35,3.0881,0.007407,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
36,3.0374,0.007353,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
37,2.9865,0.007299,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
38,2.9356,0.007246,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
39,2.8847,0.007194,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
40,2.8339,0.007143,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
41,2.7832,0.007092,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
42,2.7327,0.007042,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
