Epoch,Loss,Learning_Rate,Sheaf_Factor,Berry_Correction,Symplectic_Status
1,6737946875030514987813568512.0000,0.009901,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
2,6737946875030514987813568512.0000,0.009804,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
3,6737946875030514987813568512.0000,0.009709,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
4,6737946875030514987813568512.0000,0.009615,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
5,6737946875030514987813568512.0000,0.009524,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
6,6737946875030514987813568512.0000,0.009434,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
7,6737946875030514987813568512.0000,0.009346,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
8,6737946875030514987813568512.0000,0.009259,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
9,6737946875030514987813568512.0000,0.009174,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
10,6737946875030514987813568512.0000,0.009091,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
11,6737946875030514987813568512.0000,0.009009,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
12,6737946875030514987813568512.0000,0.008929,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
13,6737946875030514987813568512.0000,0.008850,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
14,6737946875030514987813568512.0000,0.008772,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
15,6737946875030514987813568512.0000,0.008696,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
16,6737946875030514987813568512.0000,0.008621,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
17,6737946875030514987813568512.0000,0.008547,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
18,6737946875030514987813568512.0000,0.008475,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
19,6737946875030514987813568512.0000,0.008403,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
20,6737946875030514987813568512.0000,0.008333,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
21,6737946875030514987813568512.0000,0.008264,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
22,6737946875030514987813568512.0000,0.008197,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
23,6737946875030514987813568512.0000,0.008130,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
24,6737946875030514987813568512.0000,0.008065,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
25,6737946875030514987813568512.0000,0.008000,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
26,6737946875030514987813568512.0000,0.007937,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
27,6737946875030514987813568512.0000,0.007874,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
28,6737946875030514987813568512.0000,0.007812,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
29,6737946875030514987813568512.0000,0.007752,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
30,6737946875030514987813568512.0000,0.007692,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
31,6737946875030514987813568512.0000,0.007634,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
32,6737946875030514987813568512.0000,0.007576,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
33,6737946875030514987813568512.0000,0.007519,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
34,6737946875030514987813568512.0000,0.007463,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
35,6737946875030514987813568512.0000,0.007407,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
36,6737946875030514987813568512.0000,0.007353,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
37,6737946875030514987813568512.0000,0.007299,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
38,6737946875030514987813568512.0000,0.007246,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
39,6737946875030514987813568512.0000,0.007194,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
40,6737946875030514987813568512.0000,0.007143,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
41,6737946875030514987813568512.0000,0.007092,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
42,6737946875030514987813568512.0000,0.007042,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
43,6737946875030514987813568512.0000,0.006993,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
44,6737946875030514987813568512.0000,0.006944,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
45,6737946875030514987813568512.0000,0.006897,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
46,6737946875030514987813568512.0000,0.006849,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
47,6737946875030514987813568512.0000,0.006803,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
48,6737946875030514987813568512.0000,0.006757,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
49,6737946875030514987813568512.0000,0.006711,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
50,6737946875030514987813568512.0000,0.006667,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
51,6737946875030514987813568512.0000,0.006623,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
52,6737946875030514987813568512.0000,0.006579,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
53,6737946875030514987813568512.0000,0.006536,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
54,6737946875030514987813568512.0000,0.006494,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
55,6737946875030514987813568512.0000,0.006452,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
56,6737946875030514987813568512.0000,0.006410,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
57,6737946875030514987813568512.0000,0.006369,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
58,6737946875030514987813568512.0000,0.006329,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
59,6737946875030514987813568512.0000,0.006289,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
60,6737946875030514987813568512.0000,0.006250,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
61,6737946875030514987813568512.0000,0.006211,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
62,6737946875030514987813568512.0000,0.006173,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
63,6737946875030514987813568512.0000,0.006135,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
64,6737946875030514987813568512.0000,0.006098,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
65,6737946875030514987813568512.0000,0.006061,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
66,6737946875030514987813568512.0000,0.006024,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
67,6737946875030514987813568512.0000,0.005988,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
68,6737946875030514987813568512.0000,0.005952,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
69,6737946875030514987813568512.0000,0.005917,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
70,6737946875030514987813568512.0000,0.005882,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
71,6737946875030514987813568512.0000,0.005848,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
72,6737946875030514987813568512.0000,0.005814,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
73,6737946875030514987813568512.0000,0.005780,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
74,6737946875030514987813568512.0000,0.005747,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
75,6737946875030514987813568512.0000,0.005714,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
76,6737946875030514987813568512.0000,0.005682,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
77,6737946875030514987813568512.0000,0.005650,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
78,6737946875030514987813568512.0000,0.005618,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
79,6737946875030514987813568512.0000,0.005587,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
80,6737946875030514987813568512.0000,0.005556,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
81,6737946875030514987813568512.0000,0.005525,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
82,6737946875030514987813568512.0000,0.005495,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
83,6737946875030514987813568512.0000,0.005464,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
84,6737946875030514987813568512.0000,0.005435,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
85,6737946875030514987813568512.0000,0.005405,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
86,6737946875030514987813568512.0000,0.005376,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
87,6737946875030514987813568512.0000,0.005348,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
88,6737946875030514987813568512.0000,0.005319,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
89,6737946875030514987813568512.0000,0.005291,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
90,6737946875030514987813568512.0000,0.005263,1.00000000000000000000,1.000000000000000,SYMPLECTIC_PRESERVED
91,6737946875030514987813568512.0000,0.005236,1.00000000000000000000,0.999999999999999,SYMPLECTIC_PRESERVED
92,6737946875030514987813568512.0000,0.005208,1.00000000000000000000,1.000000000000001,SYMPLECTIC_PRESERVED
